,FORMATTED_CONTENT,CLASS
734,Its funny that Mahogany is there lmao I actually didn t know that her brother and uncle are part of LMFAO,0
735,Party rock anthem is love party rock anthem is life,0
736,Stop is a very TOP,0
737,Ahhh back when my life didn t suck,0
738,Party rock XD,0
739,CUTE,0
740,LMFAO best songs ever,0
741,I fuckin love this song br br br After I m sexy and I know it,0
742,they Shuffle hard that they made an Earthquake in Nepal,0
743,Nice,0
744,still this reminds me of years back when i was do shuffle everyday,0
745,Love this song makes me wanna dance,0
746,that time in where this shirt was cool,0
747,Love this video and the song of course,0
748,Check out this video on YouTube,1
749,Very Nice br Yeah Fucking,0
750,WELL THIS DUDES FADED THE FUCK OUT,0
751,Ah Good old times,0
752,old and good song,0
753,cool,0
754,not million view anymore,0
755,Good,0
756,Check out this video on YouTube,1
757,Check out this video on YouTube br,1
758,Remeber the good ol days when songs weren t about butts,0
759,You are the music hero,0
760,i was born in the wrong generation,0
761,Love this song makes me wanna dance,0
762,Love this song makes me wanna dance,0
763,Very good Like D,0
764,the views They re over,0
765,love lmfao party rockin keep it going,0
766,Best Music Ever,0
767,Likeeee,0
768,Cool,0
769,Remeber when this song was good,0
770,lt,0
771,i want to be that robot guy,0
772,I LOVE YOUR SONGS,0
773,Omg it s going to have bi views,0
774,Dance,0
775,Check out this video on YouTube,1
776,years,0
777,cool cool cool cool cool cool cool,0
778,Wow I love it,0
779,Who knows the name of that girl and that one and that one,0
780,Why did they stop their career in music This music rocks,0
781,Very Nice,0
782,Why sooooo many downs,0
783,tension,0
784,Nice,0
785,br I like video,0
786,music yeah,0
787,Like this in D,0
788,This was such an epic track And the video is awesome,0
789,LIKKEE,0
790,give it a like,1
791,Lets party,0
792,Support the fight for your th amendment right to privacy in your home and business Stop the NSA spying on Americans with the un Patriot Act Renewal Rand Paul has spent hours on the Senate floor in a Protest and Filibuster fighting for our Constitution that this Nation is founded on Join the fight at Rand Paul dot com Spread The Word We Have Someone That Cares About Our Nation Email your Senators Congress men and women tell them to support Rand Tell the news to support Rand too Senator Rand Paul was up until a href http www youtube com watch v KQ zr kCPj amp t m s a am this morning fighting for our Constitution,1
793,mindblowing dance superbbb song,0
794,Anyone else think this video theme is a bit of an insult to days later,0
795,Check out this video on YouTube,1
796,Never get old,0
797,I remember when this used to be so popular all around at the time br I still love it,0
798,Strong messages in every song I ve heard,0
799,fucking years are fucking past so fucking fast fuck,0
800,I know it old song but like if you watching in,0
801,i m watching this on summer,0
802,I am going to blow my mind,0
803,And i m Shufflin still today D,0
804,This is my favorite song ever love this Party Rock It Everybody,0
805,views,0
806,lets get it to BILLION,0
807,Love this soooooooooooooooooooooooooooooooooooooooooooooooooo much,0
808,I love this song so much,0
809,I m A SUBSCRIBER,1
810,This Song is AWESOME,0
811,Best song ever made i swear D i still hear even doe it old who else,0
812,I came here because of Vanoss,0
813,Best song for ever br,0
814,epic,0
815,I like so much this music good,0
816,Beautiful song,0
817,Why do I feel like as if Gangnam style copied their song from this,0
818,Damn this was everywhere,0
819,Party time,0
820,never gets old,0
821,this song is fu cking awesom,0
822,HOW DO YOU PUT A PICTURE FOR YOUR IMAGE THINGIE,1
823,okay this should cover me for some time Thumbs up if you re watching while youtube still exists,1
824,This song is just insane br Do you dance listening to this song i do lol,0
825,,0
826,Thumbs up if shrek is gay,1
827,THUMBS UP FOR ROBO GUY BABY,0
828,SERIOUSLY HOW DID THEY COME UP WITH THAT BEAT IT IS INSANELY GOOD HOLY FUCK,0
829,BEST PARTY SONG LITERALLY PARTY ROCK IS IN THE HOUSEE TONIGHT,0
830,Memories,0
831,I lovee it,0
832,More views than nikki minaj Anaconda,0
833,LMFAO IS THE BEST,0
834,Who else saw jesses dancing sorry if I spelled it wrong peace,0
835,I like how the robot shuffles he shuffles good,0
836,you cant stop the shuffle,0
837,Dang Dat little kid gat moves,0
838,I miss this song,0
839,Loves it,0
840,Check out this video on YouTube br Gotta dance and just have a blast every time I hear this song Just love it br,1
841,Man this song really does get in your bones one minute I m nearly dosing off to sleep the next I m shuffling like crazy with hot feet XD,0
842,That shake and that golden and black robot were really partying,0
843,Take a look at this video on YouTube,1
844,cooooooooooooolllllllllll,0
845,Wow,0
846,OH SHIT THIS WAS UPLOADED ON MY BIRTHDAY finally my birthday isnt a curse because on this day maylaysia airlines went missing so i thought my birthday was a curse xD,0
847,everyday I m shufflin,0
848,everyday I m shufflin,0
849,Thumbs up if FE FE FE FE FEGELEIN brought u here,1
850,Every day I m Shuffling,0
851,cool song ever good thing its here,0
852,why does the world not shuffle,0
853,Love these guys love the song,0
854,Its funny because I listen to rock and death metal But i like this,0
855,Shuffling all the way with LMFAO I like this one wish I could shuffle like these crazy dudes,0
856,th most viewed video i guess,0
857,my favorite song,0
858,I like this song br,0
859,Wow dance show,0
860,Awesome,0
861,like if ur watchin in,1
862,Good times,0
863,Laughing My Fucking Ass Off,0
864,when i see this back in i ask myself how people got to like this song seems like Gangnam style copied this style though might just be me but yea,0
865,wait I SAW A KID NOT KIDDING,0
866,Party rock due and duel,0
867,fucking love it omg v,0
868,this very good so I dance with some companions front of the whole school,0
869,Check out this video on YouTube,1
870,I could finally do the spongebob but I started yesterday XD,0
871,Thumbs up if you re watching in,0
872,I love it,0
873,LMFAO Party Rock Anthem ft Lauren Bennett GoonRock,0
874,I hate it when Laura Bennett comes in,0
875,SUBSCRIBE TO MY CHANNEL,1
876,Party in da tonight,0
877,Best for partying,0
878,omg,0
879,What s with the guys jacket sleeve and a sleeveless arm,0
880,Best song ever,0
881,Take a look at this video on YouTub br You,1
882,i like this steps,0
883,Let get this video to one billion views,0
884,In my head this is like years ago Time FLIES,0
885,views comments oh my lanta,0
886,Its and still shuffling to this song,0
887,Check out this video on YouTube,1
888,Who df is Lauren Bennett,0
889,So cool,0
890,awesome,0
891,This is so cool why haven t I heard this before,0
892,XD I WAS GOING CRAZY FUCKIN CRAZY WATCHIN THIS BRAH,0
893,I shuffled while listening to this song THE ILLNESS IS SPREADING,0
894,Way was their a guy warring a robot head,0
895,like the songs,0
896,Almost billion views nice,0
897,sorry to all my haters br br br br br br br br br br br br br for party rock en,0
898,I like it br,0
899,Gooooood,0
900,,0
901,likeeeeeeeee,0
902,shuffle,0
903,lol so funny love it,0
904,good party,0
905,Do not like this comment if you are not watching in,1
906,Check out this video on YouTube,1
907,Check out this playlist on YouTube,1
908,Check out this video on YouTube,1
909,share your thoughts,1
910,subscribe me plzzzzzzz plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1
911,YouTube collaborator s anyone subscribe to me I ll subscribe back I also will start uploading more YouTube videos a rel nofollow class ot hashtag href https plus google com s LMFAO LMFAO a,1
912,Guys lmfaois going to have a reunion on June at expo Idaho gardens there going performe live and there s going be a press conference after to answer questions about were there been its all live on my channel I got publishing rights subscribe to my channel to watch the whole thing if u don t believe me look it up hope to see all u true fans there and yes it s free,1
913,IIIIIIIIIII LOVE THIS SHAKE IT SONG OH SORRY EVERY SHAKE IT SONG I LIKE WATCH SUBSCRIBE AND NEVER UNLIKE BROOOOO SHAKE IT UP,1
914,Check out this playlist on YouTube m,1
915,Check out this video on YouTube br br br br,1
916,Check out this video on YouTube,1
917,Who s watching in Subscribe for me,1
918,Come subscribe,1
919,SUBSCRIBE MY CHANNEL PLEASE LOL PRO PLAYS,1
920,Check out this video on YouTube,1
921,Check out this video on YouTube,1
922,I just wanna see how many people like this comment I ll give it a month or so,1
923,PLEASE DON T LIKE THIS COMMENT IF YOU ARE WATCHING IN,1
924,Check out this video on YouTube,1
925,I like This Comment and do not kill P,1
926,Check out this video on YouTube,1
927,Check out this playlist on YouTube,1
928,Check out this video on YouTube,1
929,Check out this video on YouTube,1
930,Check out this video on YouTube,1
931,Check out this video on YouTube fb i,1
932,ALL SCHOOL DROP OUTS I KNEW AS FRIENDS BEFORE THEY DECIDED TO DROP SCHOOL THINK THERE IS NO NEED FOR AN ID CARD OR A CERTIFICATION TO PROVE YOU ARE AN EDUCATED CLEAN IN CRIMINAL RECORD TALENTED PERSON TO WORK IN ANY ENTERTAINMENT FIELD WORLDWIDE THEY THINK THEY COULD BE RICH ENTERTAINERS BY CONSOLIDATING WITH ACTORS ACTRESSES AS WELL AS SINGERS FOR A SHARE OF PROFIT S,1
933,Check out this video on YouTube,1
934,Check out this video on YouTube,1
935,Check out this video on YouTube,1
936,Check out this playlist on YouTube br br br br,1
937,Check out this video on YouTube,1
938,Check out this playlist on YouTube br br,1
939,Check out this video on YouTube,1
940,Check out this video on YouTube,1
941,Check out this video on YouTube,1
942,View br br Best youtube Video br If Subscribe to My Channel please br Thank you lt br br Melhor V deo do youtube br Se Inscreva no Meu canal por favor br Obrigado lt br br Mejor Video youtube br Si suscriba a mi canal por favor br Gracias lt br br Meilleur vid o youtube br Si vous abonner Ma Cha ne se il vous pla t br Merci lt,1
943,We can have a party next share,1
944,Lol check out my chanell and subscribe please i want subs thats it im nearly their now,1
945,Check out this video on YouTube,1
946,Check out this video on YouTube,1
947,SUBSCRIBE me if you do that leave your name so i can subs back,1
948,Check out this video on YouTube,1
949,Please subscribe to my channel Thanks,1
950,hey guys im years old remixer and producer and i want you guys to help me checking my videos i am sure you will love those music if you love them then subscribe so you will know more about me,1
951,Check out Melbourne shuffle everybody,1
952,Subscribe My Channel,1
953,please suscribe i am bored of subscribers try to get it to,1
954,Subscribe if you are watching in,1
955,Check out this video on YouTube br,1
956,Hey Subscribe to me for the peace in the world,1
957,Check out this playlist on YouTube a,1
958,Check out this video on YouTube,1
959,Check out this playlist on YouTube,1
960,Like this comment for no reason,1
961,Omg can this be the first video on YouTube to hit billion views like this comment of you agree,1
962,br Please help me get subscribers by the end of the night Thx,1
963,like this comment if you re watching this video when big bang happened br i do,1
964,Check out this playlist on YouTube br br,1
965,Check out this playlist on YouTube,1
966,br br o br br br br YOU HAVE BEEN SPOOKED BY THE SPOOKINATI br br SHARE THIS TO PEOPLE TO BE UNSPOOKED br br br br br br br br,1
967,like this comment if your watching in or,1
968,Help me get subscribers by tomorrow br br br br br br br br br br br Joking don t get butt hurt,1
969,Check out this video on YouTube,1
970,like this comment if ur watching this on,1
971,Check out this video on YouTube,1
972,like this comment please,1
973,Check out this playlist on YouTube,1
974,LIKE AND SUBSCRIBE,1
975,Like this comment if you are watching on a phone,1
976,Cool Video LMFAOVEVO You should check out my shuffling videos on my channel when you get the chance It s much appreciated Cheers a rel nofollow class ot hashtag href https plus google com s EveryDayImVaping EveryDayImVaping a,1
977,Check out this playlist on YouTube,1
978,Check out this playlist on YouTube I tried,1
979,subscribe to span class proflinkWrapper span class proflinkPrefix span a class proflink href https plus google com oid SuperMarioLogan a span if you thot the robot dudes r epic and awsome,1
980,if watching in subscribe to span class proflinkWrapper span class proflinkPrefix span a class proflink href https plus google com oid SuperMarioLogan a span,1
981,Check out this playlist on YouTube,1
982,Like this comment if you still jam out to this song after years,1
983,subscribe,1
984,Check out this video on YouTube,1
985,this video has m views br and the channel got m subscribers,1
986,Check out this video on YouTube,1
987,subscribe to my chanell,1
988,los invito a subscribirse a mi canal,1
989,Check out this video on YouTube,1
990,Check out this playlist on YouTube,1
991,Check out this video on YouTube opponents mm br br br br br,1
992,Check out this video on YouTube br br,1
993,At subscribers i m sky diving help me reach my goal lt br Trust me i m a doctor,1
994,Check out this video on YouTube,1
995,Check out this video on YouTube,1
996,Check out this video on YouTube,1
997,Check out this playlist on YouTube,1
998,Check out this playlist on YouTube,1
999,Check out this video on YouTube,1
1000,a href https m freemyapps com share url b https m freemyapps com share url b a,1
1001,Check out this video on YouTube,1
1002,Need money check my channel and subscribe soon will post how to get it,1
1003,Check out this playlist on YouTube,1
1004,Like this comment for no reason,1
1005,Youtube comments in a nut shell br br First br club br Skip to a href http www youtube com watch v KQ zr kCPj amp t m s a and close your eyes br Advertisements br like this comment for no reason br Christianity arguements br Other religious arguements br Console wars br PCMASTERACE br Trolls br quot How is there million views on the this video if theres online people on earth br Complaints br Pewdiepie fangirls br Minecraft scrubs br r MontageParodies br br br AND ANY OTHER SHIT,1
1006,Check out this playlist on YouTube,1
1007,Check out this video on YouTube,1
1008,Please become my first subscriber Thank you,1
1009,Can i get views and subscribers for no reason,1
1010,Check out this video on YouTube,1
1011,Check out this video on YouTube,1
1012,Hello from Russia comes to the channel subscribe,1
1013,Check out my dance videos You won t be disappointed a rel nofollow class ot hashtag href https plus google com s KingLoTheDancer KingLoTheDancer a,1
1014,Men stop being naive idiots believing in love and believing that women actually respect you Want a more fulfilling drama fee life Check out MGTOW There are many channels here on YouTube that you can chose from which will give you all the information needed Caution Not for men who enjoy being disposable providers of utility,1
1015,pleas subscribe on me for ps games video br i i br if you have som tips so contact me on kik or skype br i i br Kik pander br Skype sander nicolaysen br i i br pleas subscribe on me and Kashoo Gaming,1
1016,Check out this playlist on YouTube,1
1017,Check out this video on YouTube,1
1018,Check out this playlist on YouTube,1
1019,Check out this video on YouTube br br br br br br,1
1020,br NOW THAT I HAVE YOUR ATTENTION SUBSCRIBE TO MY CHANNEL br br GRACIAS br,1
1021,Check out this video on YouTube,1
1022,Check out this video on YouTube,1
1023,Check out this video on YouTube,1
1024,Check out this video on YouTube,1
1025,a href https m freemyapps com share url b https m freemyapps com share url b a,1
1026,Check out this video on YouTube,1
1027,Check out this playlist on YouTube a,1
1028,Check out this video on YouTube,1
1029,Check out this playlist on YouTube hbbhhhgh,1
1030,Check out this playlist on YouTube,1
1031,LIKE AND SUBSCRIB IF YOU WATCH IN,1
1032,Check out this video on YouTube,1
1033,Check out this video on YouTube hjalp,1
1034,Check out this video on YouTube,1
1035,Check out this video on YouTube,1
1036,Check out this video on YouTube,1
1037,Check out this video on YouTube,1
1038,Check out this video on YouTube,1
1039,Check out this video on YouTube,1
1040,Check out this video on YouTube Qq,1
1041,Check out this video on YouTube,1
1042,a href http www gofundme com Helpmypitbull http www gofundme com Helpmypitbull a Can you please donate to help my pitbull PLEASE I just need dollars to take it to the vet,1
1043,Check out this video on YouTube,1
1044,Check out this video on YouTube,1
1045,Dear friends please subscribe to my channel I will be very glad to see You virucide,1
1046,Check out this video on YouTube,1
1047,Check out this video on YouTube,1
1048,Subscribe to my channel br Tweet amp Follow me on twitter therealterrell br And I will follow you back,1
1049,want a sub tell me about your channel and i will subscribe with a couple exceptions,1
1050,Check out this playlist on YouTube,1
1051,Subscribe I ll subscribe back,1
1052,Check out this playlist on YouTube,1
1053,Check out this playlist on YouTube pl,1
1054,Check out this video on YouTube,1
1055,Check out this video on YouTube,1
1056,Check out this video on YouTube,1
1057,Check out this video on YouTube lo,1
1058,Check out this video on YouTube,1
1059,Check out this video on YouTube,1
1060,Check out this video on YouTube I,1
1061,Check out this video on YouTube,1
1062,subscribe to my channel yo DJ Feelz,1
1063,Hey guys subscribe to my chanel and i will subscribe back and like all your vids br br,1
1064,Check out this video on YouTube,1
1065,Check out this video on YouTube,1
1066,White people are going extinct for more information subscribe to my channel or search for videos on quot white genocide quot thank you,1
1067,Check out this video on YouTube,1
1068,Check out this video on YouTube,1
1069,Check out this video on YouTube,1
1070,subscribers please,1
1071,Yo like what up this song is fricking beast anywon herd the see mee rollin or I woke up in a new Buggti check out nuketown rap I was shooting in it see my nice quick scoping things training for faze adoult freind sang I was at my freinds house doing it we just had the rap going and we were doing fun things,1
1072,hi everyone this is cool check out sexy and i know it,1
1073,Check out our app to solve all your party drunk problems br a href https play google com store apps details id vn ibit AppLocker amp hl en https play google com store apps details id vn ibit AppLocker amp hl en a,1
1074,Check out this video on YouTube it is a old track but it still bad,1
1075,Check out my youtube channel for cool beatboxing,1
1076,Check out this video on YouTube,1
1077,Hi everyone Do you like music Then why not check out my music channel The LEXIS band will be uploading their own songs and covers soon so don t miss out Please SUBSCRIBE too as it does help us out a lot Just takes one click gt,1
1078,SUBSCRIBE,1
1079,Ummm I just hit k subscribers I make Minecraft videos Help me out by checking me out,1
1080,SUP GUS THIS IS A VIDEO FOR PEOPLE WHO LOVES PARTY ROCK SO THANKS FOR WATCHING AND PLEASE SUBSCRIBE,1
1081,Hey Guys Jaylan Here And I Just Wanted Everybody To Know if Yall Can Subscribe Please That Would Be Great This Is My New Gaming Channel Have Not Uploaded Yet But I Will Upload If I Hit About Subs Thank You D,1
1082,great l subscribe,1
1083,Check out this video on YouTube jjiwajwkajajqjaubkm,1
1084,Check out this video on YouTube,1
1085,m subscribers but look at the views its million wtf P,1
1086,Check out this video on YouTube,1
1087,Check out my YouTube channel I can rap,1
1088,Check out this video on YouTube,1
1089,Check out this video on YouTu,1
1090,LMFAO is CRAZY DOPE CHeck out my music on my channel if you have a minute it would mean a lot Much love,1
1091,Check out this video on YouTube,1
1092,everyday i m subscribe,1
1093,man check out the raps on my channel im better rapper than these nigger fools,1
1094,go check out our video,1
1095,Like This Comment,1
1096,Check out this video on YouTube,1
1097,Subscribe,1
1098,Check out this video on YouTube br Looking for my wood pile br Anyone seen it Hmm br How bout some pie now br Ladies,1
1099,HAHAA THIS DANCE IS TIGHTTTT br br I know y all quot ain t got time for MY demo man quot but check out some of my stuff br br Slappers on slappers on bangers Click that link below to peep game ENJOY br br a href https soundcloud com rocc steady wave emoji prod by nippylongbottom cyber punk https soundcloud com rocc steady wave emoji prod by nippylongbottom cyber punk a,1
1100,Check out my music niggas,1
1101,Check out this video on YouTube,1
1102,Check out this funny video quot Cereal Box Knocks out Baby quot on my channel,1
1103,Subscribe to me if u think quot swag quot is fucking stupid,1
1104,Tuto to subscribe to my channel because you should sign up for l please thank you I d do anything for you to sign up a lot of good video I usually do,1
1105,Abomination Subscribe if you agree party here in my channel cool lights,1
1106,Like this comment guys i just started up a new channel if i can get subscribers by tonight ill do a paypal giveaway like this comment so your friends can see it or others and they can also be entered GO,1
1107,Check out My Hood Doh by Flixter Nossnevs,1
1108,Nezo and Ed br Like amp share this page on facebook please,1
1109,Hey I m a British youtuber br I upload Weekly br It would mean the world if you could subscribe br Thanks Joyce br,1
1110,Subscribe to my channel,1
1111,hi guys please check out my vids i will promos to subscribe to you to,1
1112,Hey plz check out my music video Thanks,1
1113,Check the shit out on my channel br br br SUBSCRIBE YOU WILL LIKE IT,1
1114,Good video,0
1115,very good song,0
1116,every bady yust have a good time,0
1117,are there people who like this shit hahahahah P br this isn t even real music it s computer based music br well done music industry,0
1118,i love this song so much,0
1119,No one makes me wanna party like LMFAO does I just wanna rage every time one of these songs comes on The only other band that does that is quot On the Rocks Inc quot those kids know how to party,0
1120,The best song ever,0
1121,The best song ever,0
1122,check it out free stuff for watching videos and filling surveys br br a href http www prizerebel com index php r http www prizerebel com index php r a,1
1123,Love your song makes me happy,0
1124,OOOOO SHUFFLLLLLLLLLLLLLLLLLLLLLLINNNNN,0
1125,awesome,0
1126,I learned the shuffle because of them,0
1127,The best Song i saw,0
1128,watch this with sound off,0
1129,Looooooooove this song,0
1130,EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS,1
1131,EVERYONE PLEASE SUBSCRIBE TO MY CHANNEL OR CAN YOU ALL JUST GO LOOK AT MY VIDEOS,1
1132,EVERYONE PLEASE GO SUBSCRIBE TO MY CHANNEL OR JUST LOON AT MY VIDEOS,1
1133,Like this comment for no reason,1
1134,love this song,0
1135,this song is awesome these guys are the best love this video too its hilarious lol im getting popular fast because i rap with meaning thumbs up if you piss next to the water in the toilet so it doesnt make noise,1
1136,HOW MANY THUMBS UP FOR LOUIS SAVING THE DAY,1
1137,NICE,0
1138,lovely girl talk to me xxx,1
1139,I always end up coming back to this song br,0
1140,my sister just received over new a rel nofollow class ot hashtag href https plus google com s active active a youtube views Right now The only thing she used was pimpmyviews com,1
1141,Cool,0
1142,Hello I am from Palastine,1
1143,Wow this video almost has a billion views Didn t know it was so popular,0
1144,Go check out my rapping video called Four Wheels please,1
1145,Almost billion,0
1146,Aslamu Lykum From Pakistan,1
1147,Eminem is idol for very people in Espa a and Mexico or Latinoamerica,0
1148,Help me get subs please,1
1149,i love song,0
1150,Alright ladies if you like this song then check out John Rage He s a smoking hot rapper coming into the game He s not better than Eminem lyrically but he s hotter Hear some of his songs on my channel,1
1151,The perfect example of abuse from husbands and the thing is I m a feminist so I definitely agree with this song and well if I see this someone s going to die Just sayin,0
1152,The boyfriend was Charlie from the TV show LOST,0
1153,a href https www facebook com groups https www facebook com groups a,1
1154,Take a look at this video on YouTube,1
1155,Check out our Channel for nice Beats,1
1156,Rihanna and Eminem together are unstoppable,0
1157,Check out this playlist on YouTube,1
1158,This song is about Rape and Cheating br br br br br br br br br br Basically,0
1159,like please,1
1160,I love this song can t believe it was years ago it doesn t get old though,0
1161,OMG that looks just like a piece of the mirror of harry potter and the deathly hallows br Either that house sirius black,0
1162,I shared my first song quot I Want You quot and I hope you ll like it Take a listen a href https youtu be YfUY gKr c https youtu be YfUY gKr c a,1
1163,Come and check out my music Im spamming on loads of videos but its just to try and get my music across to new people,1
1164,Check out this playlist on YouTube,1
1165,HUH HYUCK HYUCK IM SPECIAL WHO S WATCHING THIS IN IM FROM AUSTRALIA OR SOMETHING GIVE ME ATTENTION PLEASE IM JUST A RAPPER WITH A DREAM IM GONNA SHARE THIS ON GOOGLE PLUS BECAUSE IM SO COOL,1
1166,You exactly who u want to be watching your favourite rappers on tv,0
1167,Rihanna is absolutely gorgeous in this video,0
1168,Check out this video on YouTube br br Love this song It s all good will never go back that but I ll always remember the passion but never want to go back to being dysfunctional insanity Goal is to live happy not live insane,1
1169,Don t love someone soo much love the way u lie,0
1170,one of the BEST SONGS in music history,0
1171,Check out this playlist on YouTube,1
1172,Check out this video on YouTube,1
1173,Check out this video on YouTube,1
1174,No I hate The Way U LIe,0
1175,Fuck Eminem Bieber is the best lt,0
1176,Check out this playlist on YouTube chcfcvzfzfbvzdr,1
1177,Check out this playlist on YouTube,1
1178,Im gonna share a little ryhme canibus blows eminem away a quadrillion times especially about the categories of intelligent things in his mind That he learned and rapped about and forgot before eminem spit his first ryme luv ya linz e,1
1179,Check out this video on YouTube,1
1180,Check out this video on YouTube br br br,1
1181,CHECK OUT THE NEW REMIX br CLICK CLICK,1
1182,Check out this playlist on YouTube,1
1183,I personally have never been in a abusive relationship I probably never will I don t hit women Mom has my dad used to hit my mom before he left I can relate I m writing about one at the moment subscribe to hear it EVERY fan counts,1
1184,Love,0
1185,Haha I can t believe how many kids listen to Eminem You kids know that he does drugs and ends high in jail I wonder why he never ended OD,0
1186,plese subscribe to me,1
1187,Check out this video on YouTube,1
1188,Aye homies check out our remix to Cent Your Life Is On The Line we just started our youtube channel and we are all ways working hard give us some feed back on our latest song on what you guys think if you like show support,1
1189,this is the nd most best song when im gone by m amp m,0
1190,Check out this video on YouTube,1
1191,WE GO FOR FOR EMINEM,0
1192,Eminem and Rihanna sing the song very well,0
1193,Subscribe me Secret videos D,1
1194,Check out this video on YouTube,1
1195,Check out this video on YouTube but I m not Rhinnah,1
1196,Subscribe to me for clean Eminem,1
1197,Hey youtubers I really appreciate all of you who took the time to read this I am just a year old boy who wants to be a successful musician in the music world I dont have any money to advertise my channel If you could just visit my channel comment on my video or subscribe that would be great It will only be few seconds of your life Thank u to all the people who just gave me a chance l really appreciate it,1
1198,LOVE THE WAY YOU LIE quot,0
1199,Check out this video on YouTube,1
1200,This guy win dollars sleeping m m m he loves the planet its full of RETARDS,1
1201,Check out our cover of this song,1
1202,Check out this video on YouTube,1
1203,goot,0
1204,but Im still listening to this,0
1205,How is this the most watched Eminem video it beats not afraid,0
1206,Check out my channel for funny skits Thanks,1
1207,hahahahah D like vines Subscribe to me for daily vines,1
1208,please read this please i am a country singer who is trying to become someone so if you would like my videos please just type boys round here by country girl only on computer wasting all these tears e t please subscribe and like,1
1209,Check out this video on YouTube,1
1210,GUYS SHARE THIS VIDEO HE must have views Share on Facebook groups pages,1
1211,CHECK OUT Eminem Rap God LYRIC VIDEO,1
1212,Love this song,0
1213,Rihana Love Me,0
1214,like this comment then type,1
1215,Is that Charlie from lost br,0
1216,who the fuck cheats on megan fox,0
1217,that is megan fox,0
1218,I love music,0
1219,like this comment then type,1
1220,,0
1221,hot hot,0
1222,Check out this video on YouTube,1
1223,Wow justin Bieber is Better thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice and flaming hot cheetos that he can eat with the power of the samurman,1
1224,this fucking song like a n oreo the only white part is the good,0
1225,no where near one of eminems actual best songs real fans know what im talking about Untitled cold wind blows welcome hell elevator business wtp almost famous to life rock bottom no apologies same song and dance without me way i am toy soldiers mosh and insane lt songs off the top of my head that s better,0
1226,Finally someone shares the same opinion as me I ve tried really hard to like Gangnam style but I just can t I don t even get the dance either A song like this should be more popular than Gangnam Style at least it makes sense,1
1227,Check Out The New Hot Video By Dante B Called Riled Up,1
1228,Check Out The New Hot Video By Dante B Called Riled Up,1
1229,Still listening still same pleasure,0
1230,FACEBOOK PASSWORD HACK facebook pass hack blogspot com ONLY WORKING SOFTWARE FOR HACKING ANY FACEBOOK PASSWORD It s FREE for download and breaks any password in minutes virus free For details and FREE DOWNLOAD please visit facebook pass hack blogspot com,1
1231,I love you,0
1232,The time past so fast,0
1233,Hey everyone I m Dakoda Bigelow I m a year old singer rapper and producer I ve gained over views so far but I really need more views likes and subscribers in order to make it Check out my brand new music video for my song So Gone Also check out my new song called Deaf A few moments of your time would be greatly appreciated and you won t regret it Please thumbs this up so more people can see it Thanks for the support,1
1234,FUCK YEAH,0
1235,eminem is a ginius stop,0
1236,The rap cool Rihanna STTUUPID,0
1237,Just gonna stand there and hear me cry,0
1238,Love,0
1239,Feels and emotions in this song God damn,0
1240,all u should go check out j rants vi about eminem,1
1241,MEGAN FOX AND EMINEM TOGETHER IN A VIDEO DOESNT GET BETTER THAN THAT,0
1242,Check out this video on YouTube a rel nofollow class ot hashtag href https plus google com s Eminem Eminem a a rel nofollow class ot hashtag href https plus google com s Lovethewayyoulie Lovethewayyoulie a a rel nofollow class ot hashtag href https plus google com s RapGod RapGod a a rel nofollow class ot hashtag href https plus google com s King King a,1
1243,yo I know nobody will probably even read this But I m gonna type it any way because i hope at least one person will i m a rapper with a dream I know there s like k of those in this world but please check out my music and subscribe if you want thanks I would love nothing more than to have a decent following on youtube if anyone reading this could press the quot THUMBS UP quot other people will see it just a simple button press could make my dream come true Thank You,1
1244,best song,0
1245,subscribe to my feed,1
1246,EVERYONE GO AND SHARE youtu be ARkglzjQuP ON FB TWITTER G TO VOTE FOR EMINEM TO BECOME ARTIST OF THE YEAR ON FIRST EVER YOUTUBE MUSIC AWARDS AND GET THIS METHOD TO CHEAT AT INTERNET ROULETTE OUT OF EMINEMS VIDEO SHADY ARTIST OF THE YEAR,1
1247,Check out Em s dope new song monster here watch v w gkM XNY M MMLP FTW,1
1248,Check out my SEXY VIDEO,1
1249,Check out my SEXY VIDEO,1
1250,Is that Charlie from lost,0
1251,Anyone else notice that Megan Fox is in this video,0
1252,Do you need more instagram followers or photo likes Check out IGBlast com and get em in minutes,1
1253,Check Out The New Hot Video By Dante B Called Riled Up,1
1254,Check Out The New Hot Video By Dante B Called Riled Up,1
1255,yo I know nobody will probably even read this but Imma type it any way because i hope at least one person will i m a rapper with a dream I know there s like k of those in this world but please check out my music and subscribe if you want thanks I would love nothing more than to have a decent following on youtube if anyone reading this could press the quot THUMBS UP quot other people will see it just a simple button press could make my dream come true Thank You,1
1256,youtube com watch v ASFn ShgHk amp feature youtu be please check out my song looking for feedback and supporters,1
1257,WATCH MY VIDEOS AND SUBSCRIBE,1
1258,D subscribe to me for daily vines,1
1259,LOVE IT,0
1260,Hay dakota u earned a subscribee,1
1261,Listen Check out Andrew Guasch Crazy Sick Flow I m dope that s all there is too it If you like it Subscribe if not Ill be with Aftermath of TDE Soon enough One Love Peace,1
